0,0,0,3F,3F,3F,3F,0,1F,1F,1F,1F,0,0,0,0,0,0,0,0,1F,1F,1F,1F,3F,0,3F,3F,0,3F,0,0
3,2D,2,2A,0,24,1B,0,3F,19,9,36,9,A,3A,32,21,0,5,F,E,5,2,15,A,9,16,2,40,1C,1B,40
2,2B,1,26,0,1E,22,0,40,23,3,2D,14,2,2F,3C,31,5,13,3,23,0,11,4,20,0,30,4,37,36,3,2E
1,29,0,22,1,18,2A,2,3E,2C,0,21,21,0,1F,40,3D,12,26,1,36,9,28,1,37,A,3F,1A,1C,40,4,10
1,27,0,1E,3,12,31,5,38,35,2,15,2F,4,10,3C,40,24,38,A,40,1C,3B,F,40,22,39,34,4,2F,1F,0
0,25,1,1A,6,D,38,B,30,3C,8,B,3A,D,4,30,38,35,40,1D,3A,32,3F,27,34,39,1F,40,4,11,3B,F
0,23,2,16,A,8,3D,11,27,3F,12,3,3F,1A,0,20,29,3F,3B,31,28,3F,31,3B,1A,3F,6,33,1C,0,3C,2F
0,21,3,12,10,4,3F,1A,1C,40,1F,0,3F,29,4,10,16,3E,2A,3E,11,3C,18,3F,4,2F,2,16,39,C,20,40
0,1F,5,E,16,2,40,22,11,3D,2B,2,37,36,11,4,6,33,15,3E,2,2A,4,2F,2,14,17,1,3E,2B,4,2F
0,1D,8,B,1C,0,3E,2B,9,36,37,9,2A,3E,22,0,0,20,4,30,3,13,2,16,17,1,34,7,26,40,6,D
0,1A,B,7,23,0,3A,33,2,2C,3E,15,1A,3F,33,6,6,D,1,1A,15,2,14,2,33,6,40,23,7,34,26,1
1,18,F,5,2A,1,33,39,0,21,40,22,C,39,3E,15,17,1,C,7,2D,3,2E,3,40,20,2E,3D,2,14,3F,18
2,16,13,3,30,4,2B,3E,2,16,3C,2F,2,2C,3F,27,2B,2,22,0,3E,15,3F,19,33,3A,F,3B,1D,0,33,3A
2,14,18,1,36,8,22,40,7,C,33,3A,0,1C,36,37,3B,F,37,A,3D,2F,39,33,16,3E,0,20,3B,F,10,3C
3,12,1C,0,3A,E,19,3F,11,4,26,40,7,C,25,40,40,24,40,1F,29,3F,21,40,1,28,10,4,3B,31,0,1B
5,F,21,0,3E,14,10,3C,1C,0,17,3F,14,2,12,3D,36,37,38,35,F,3B,7,34,8,B,31,5,1C,40,1A,1
6,D,26,1,40,1B,8,35,28,1,B,38,25,0,4,30,22,40,23,40,1,26,1,19,24,0,40,21,1,29,3B,F
7,B,2B,2,40,23,3,2D,33,6,2,2C,34,7,0,1D,D,3A,C,39,7,C,13,3,3D,13,2E,3D,B,8,39,34
9,A,2F,4,3E,2A,0,24,3B,10,0,1D,3E,15,8,B,1,28,0,23,1F,0,30,4,3B,32,D,3A,2E,3,15,3E
B,8,34,7,3B,31,1,1A,40,1B,5,F,3F,27,19,1,3,12,7,C,37,A,40,1D,1F,40,0,1B,40,22,0,1F
D,6,37,A,37,37,4,10,3F,28,10,4,37,36,2D,3,13,3,1D,0,40,24,35,38,4,30,17,1,2A,3E,18,1
F,5,3B,E,30,3B,B,8,3A,33,1E,0,28,3F,3C,10,2A,2,35,7,31,3B,19,3F,4,10,37,A,7,35,3B,F
11,4,3D,13,29,3F,13,3,30,3C,2D,3,16,3E,40,24,3C,10,40,1E,16,3F,2,2C,20,0,3E,2C,4,11,38,35
14,2,3F,17,22,40,1D,0,24,40,39,C,7,34,37,36,3F,26,38,35,2,2C,5,E,3C,10,22,40,25,0,12,3D
16,2,40,1C,1A,3F,27,1,17,3F,40,1B,0,24,25,40,33,39,21,40,4,10,20,0,3C,30,4,30,3F,19,0,1B
19,1,40,22,13,3D,31,5,C,39,3E,2A,3,12,11,3C,1D,40,9,37,1B,0,3A,E,20,40,6,D,31,3B,1D,0
1B,0,3F,27,C,39,39,C,3,2F,36,37,F,5,3,2D,9,36,0,1F,35,8,3E,2C,4,2F,27,1,C,39,3E,15
1E,0,3E,2C,7,33,3E,15,0,22,29,3F,21,0,1,19,0,21,B,8,40,22,27,3F,5,F,3F,19,2,16,33,3A
20,0,3B,31,3,2D,40,1F,2,15,19,3F,32,5,C,7,8,B,23,0,32,3A,A,37,22,0,33,3A,1F,0,C,39
23,0,38,35,0,25,3F,29,9,A,B,38,3D,14,1F,0,1C,0,3A,D,17,3F,1,1A,3D,12,10,3C,3E,15,3,13
26,0,35,39,0,1D,3A,33,13,3,2,2B,40,26,33,6,33,6,40,26,2,2B,13,3,3A,33,0,1D,35,39,26,0
28,1,30,3C,2,16,32,3A,20,0,0,1C,37,36,3F,17,3F,1A,31,3B,5,10,32,5,1C,40,16,2,10,3C,40,1D
2B,2,2C,3E,5,E,29,3F,2D,3,6,D,28,3F,3E,2C,3C,30,18,3F,1C,0,40,20,2,2C,37,A,1,1A,2B,3E
2D,3,27,3F,A,8,1F,40,38,A,12,3,16,3E,31,3B,29,3F,4,2F,36,9,32,3B,7,C,3E,2C,1B,0,6,32
2F,4,21,40,11,4,14,3E,3E,16,21,0,7,34,1C,40,12,3D,2,16,40,23,14,3E,26,1,21,40,3C,11,8,B
32,5,1C,40,18,1,B,39,40,22,30,4,0,23,A,37,2,2C,12,3,31,3B,1,26,3E,16,3,2E,38,36,2E,3
34,7,17,3F,20,0,5,31,3C,2F,3B,F,3,11,0,25,2,15,2C,2,16,3E,9,9,38,35,7,C,14,3E,3F,26
36,9,12,3D,27,1,1,27,34,39,40,1E,10,4,4,11,11,4,3E,14,2,2B,26,1,19,3F,28,1,0,1F,23,40
38,A,E,3A,2F,4,0,1D,29,3F,3D,2D,21,0,13,3,27,1,3D,2D,4,10,3D,13,2,2A,3F,1A,16,2,2,2C
39,C,A,37,35,8,3,13,1C,40,34,39,32,5,27,1,3A,D,2B,3E,1B,0,3B,30,8,B,33,3A,39,B,C,7
3B,E,6,33,3A,E,8,A,10,3C,26,3F,3D,13,38,B,40,23,12,3D,35,8,22,40,26,1,12,3D,3C,2F,32,6
3C,11,4,2F,3E,14,10,4,7,33,17,3F,40,24,40,1D,36,37,2,2A,40,21,7,34,3E,15,0,20,1C,40,3F,2A
3D,13,2,2A,40,1B,1A,1,1,28,A,38,39,34,3B,30,22,40,3,12,34,39,1,18,39,34,12,3,1,29,20,40
3E,15,0,25,40,23,23,0,0,1C,2,2B,2B,3E,2D,3D,D,3A,15,2,1B,40,14,2,1C,40,33,6,C,7,2,2A
3F,17,0,21,3E,2A,2D,3,4,10,0,1D,1A,3F,19,3F,1,28,2D,3,5,31,30,4,3,2E,40,24,2F,4,C,7
3F,1A,0,1C,3B,31,35,8,C,7,5,F,B,38,9,36,3,12,3E,14,1,17,40,1C,5,F,2C,3E,40,22,31,5
40,1C,1,17,37,36,3B,F,17,1,F,5,2,2A,0,25,12,3,3E,2C,12,3,37,37,1E,0,C,39,2C,3E,3F,26
40,1F,3,13,31,3B,3F,18,22,0,1D,0,1,19,3,12,27,1,2E,3D,2B,2,1C,40,3A,D,0,1B,B,38,26,3F
40,21,5,E,2B,3E,40,22,2E,3,2A,2,8,B,10,4,39,C,17,3F,3E,14,5,31,3E,2A,14,2,1,18,5,31
40,23,8,B,24,40,3E,2B,37,A,36,9,16,2,22,0,40,1F,5,31,3D,2D,1,17,2A,3E,33,6,19,1,5,E
40,26,B,8,1D,40,3A,33,3D,13,3E,14,25,0,33,6,3A,33,0,1B,2C,3E,13,3,D,3A,40,22,38,B,25,0
3F,28,F,5,17,3F,34,39,40,1E,40,22,34,7,3E,14,2A,3E,B,7,13,3D,2E,3,0,21,2F,3C,3E,2B,3F,17
3E,2A,13,3,10,3C,2C,3E,3F,29,3D,2F,3D,13,40,26,16,3E,20,0,3,2D,3F,17,B,8,12,3D,26,40,35,38
3E,2C,17,1,B,38,24,40,3A,33,34,39,40,22,38,35,6,33,34,7,2,15,3C,30,26,1,0,25,8,35,15,3E
3D,2E,1B,0,7,34,1B,40,32,3A,29,3F,3C,30,2A,3E,0,21,3F,19,11,4,28,3F,3C,10,A,9,1,17,0,24
3C,30,1F,0,3,2E,13,3D,28,3F,1D,40,32,3B,19,3F,5,F,3D,2E,28,1,F,3B,3E,2B,25,0,17,1,D,7
3B,32,24,0,1,28,C,39,1E,40,11,3C,24,40,B,38,13,3,2F,3C,3A,D,1,28,2C,3E,3C,10,34,7,2C,2
3A,33,28,1,0,22,6,33,14,3E,7,35,16,3E,2,2B,24,0,1B,40,40,22,4,10,12,3D,3E,2B,40,22,3F,1A
38,35,2B,2,0,1D,2,2C,C,39,2,2A,A,37,0,1B,34,7,A,37,37,36,16,2,2,2A,2B,3E,32,3B,36,37
37,36,2F,4,1,17,0,25,5,32,0,1F,3,2D,6,D,3E,15,1,26,25,40,2D,3,3,12,11,3C,16,3E,1A,3F
36,37,32,6,3,12,0,1D,1,29,2,14,0,20,12,3,3F,26,2,14,11,3C,3D,12,15,2,1,28,2,2C,3,2D
34,39,35,8,6,D,2,16,0,20,8,B,3,13,20,0,38,35,E,6,3,2E,3F,27,2C,2,5,F,4,11,4,11
33,3A,38,A,A,9,5,10,1,17,11,4,A,9,2E,3,2B,3E,1E,0,0,1B,34,39,3D,12,19,1,18,1,1A,1
32,3B,3A,D,E,6,9,A,5,F,1A,0,14,2,39,C,1C,40,2F,4,9,A,21,40,3F,28,30,4,31,5,34,7
