0,0,0,3F,3F,3F,3F,0,1F,1F,1F,1F,0,0,0,0,0,0,0,0,1F,1F,1F,1F,3F,0,3F,3F,0,3F,0,0
0,3F,0,3F,0,3F,0,0,3F,0,0,3F,0,0,3F,3F,3F,0,0,0,0,0,0,0,0,0,0,0,3F,0,0,3F
0,3F,0,3F,0,0,3F,0,3F,3F,0,3F,0,0,3F,3F,3F,0,0,0,3F,0,0,0,3F,0,3F,0,3F,3F,0,3F
0,3F,0,3F,0,0,3F,0,3F,3F,0,3F,3F,0,0,3F,3F,0,3F,0,3F,0,3F,0,3F,0,3F,0,0,3F,0,0
0,3F,0,0,0,0,3F,0,3F,3F,0,0,3F,0,0,3F,3F,3F,3F,0,3F,0,3F,0,3F,3F,3F,3F,0,3F,0,0
0,3F,0,0,0,0,3F,0,3F,3F,0,0,3F,0,0,3F,3F,3F,3F,0,3F,3F,3F,3F,3F,3F,0,3F,0,0,3F,0
0,3F,0,0,0,0,3F,0,3F,3F,0,0,3F,0,0,3F,3F,3F,3F,3F,3F,3F,3F,3F,0,3F,0,3F,0,0,3F,3F
0,3F,0,0,0,0,3F,0,0,3F,0,0,3F,3F,0,0,0,3F,3F,3F,0,3F,0,3F,0,3F,0,0,3F,0,3F,3F
0,0,0,0,0,0,3F,3F,0,3F,3F,0,3F,3F,0,0,0,3F,0,3F,0,3F,0,3F,0,0,0,0,3F,3F,0,3F
0,0,0,0,0,0,3F,3F,0,3F,3F,0,3F,3F,3F,0,0,3F,0,3F,0,0,0,0,0,0,3F,0,3F,3F,0,0
0,0,0,0,3F,0,3F,3F,0,3F,3F,0,0,3F,3F,0,0,0,0,0,0,0,0,0,3F,0,3F,3F,0,3F,3F,0
0,0,0,0,3F,0,3F,3F,0,3F,3F,3F,0,3F,3F,0,0,0,0,0,3F,0,3F,0,3F,0,3F,3F,0,0,3F,0
0,0,0,0,3F,0,3F,3F,0,0,3F,3F,0,3F,3F,3F,3F,0,3F,0,3F,0,3F,0,3F,3F,0,3F,0,0,3F,3F
0,0,0,0,3F,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,0,3F,0,3F,3F,3F,3F,0,3F,0,0,3F,0,0,3F
0,0,0,0,3F,0,0,3F,0,0,3F,3F,0,0,3F,3F,3F,3F,3F,0,3F,3F,3F,3F,0,3F,0,0,3F,3F,0,0
0,0,3F,0,3F,0,0,3F,0,0,0,3F,0,0,0,3F,3F,3F,3F,3F,0,3F,0,3F,0,0,3F,0,0,3F,0,0
0,0,3F,0,3F,0,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,3F,3F,0,3F,0,0,3F,0,3F,3F,0,3F,3F,0
0,0,3F,0,3F,3F,0,3F,3F,0,0,3F,3F,0,0,0,0,3F,0,3F,0,0,0,0,3F,0,3F,3F,0,0,3F,3F
0,0,3F,0,3F,3F,0,3F,3F,0,0,0,3F,0,0,0,0,3F,0,3F,0,0,3F,0,3F,3F,0,3F,3F,0,0,3F
0,0,3F,0,3F,3F,0,0,3F,0,0,0,3F,3F,0,0,0,0,0,0,3F,0,3F,0,0,3F,0,0,3F,3F,0,0
0,0,3F,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,0,0,0,0,0,3F,3F,3F,3F,0,3F,0,0,3F,3F,0,0
0,0,3F,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,0,3F,0,3F,0,3F,3F,0,3F,0,0,3F,0,0,3F,3F,0
0,0,3F,0,3F,3F,0,0,3F,3F,3F,0,0,3F,3F,3F,3F,0,3F,0,0,3F,0,3F,0,0,3F,3F,0,0,3F,3F
0,0,3F,0,3F,3F,0,0,3F,3F,3F,0,0,3F,3F,3F,3F,3F,3F,3F,0,3F,0,0,3F,0,3F,3F,3F,0,0,3F
0,0,3F,0,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,3F,3F,3F,3F,0,0,0,0,3F,3F,0,3F,3F,0,0,0
0,0,3F,3F,0,3F,3F,0,0,3F,3F,3F,0,0,0,3F,0,3F,0,3F,0,0,3F,0,0,3F,0,0,3F,3F,0,0
0,0,3F,3F,0,3F,3F,0,0,3F,3F,3F,0,0,0,3F,0,3F,0,0,3F,0,3F,3F,0,3F,3F,0,0,3F,3F,0
0,0,3F,3F,0,3F,3F,0,0,3F,3F,3F,3F,0,0,0,0,3F,0,0,3F,3F,3F,3F,0,0,3F,0,0,0,3F,3F
3F,0,3F,3F,0,3F,3F,0,0,0,0,3F,3F,0,0,0,0,0,3F,0,3F,3F,0,3F,3F,0,3F,3F,0,0,0,3F
3F,0,3F,3F,0,3F,3F,3F,0,0,0,3F,3F,0,0,0,0,0,3F,0,0,3F,0,0,3F,0,0,3F,3F,0,0,0
3F,0,3F,3F,0,0,3F,3F,0,0,0,3F,3F,3F,3F,0,3F,0,3F,3F,0,3F,0,0,3F,3F,0,0,3F,3F,3F,0
3F,0,3F,3F,0,0,3F,3F,3F,0,0,0,3F,3F,3F,0,3F,0,3F,3F,0,0,3F,0,0,3F,0,0,0,3F,3F,0
3F,0,3F,3F,0,0,3F,3F,3F,0,0,0,3F,3F,3F,3F,3F,3F,0,3F,0,0,3F,0,0,3F,3F,0,0,0,3F,3F
3F,0,3F,3F,0,0,0,3F,3F,0,0,0,0,3F,3F,3F,3F,3F,0,3F,3F,0,3F,3F,0,0,3F,3F,0,0,0,3F
3F,0,3F,3F,0,0,0,3F,3F,0,3F,0,0,3F,0,3F,0,3F,0,0,3F,3F,0,3F,3F,0,3F,3F,3F,0,0,0
3F,0,0,3F,0,0,0,3F,3F,3F,3F,0,0,3F,0,3F,0,3F,0,0,3F,3F,0,3F,3F,0,0,3F,3F,3F,3F,0
3F,0,0,3F,0,0,0,3F,3F,3F,3F,0,0,0,0,3F,0,0,3F,0,0,3F,0,0,3F,3F,0,0,0,3F,3F,3F
3F,0,0,3F,3F,0,0,3F,3F,3F,3F,0,0,0,0,0,0,0,3F,0,0,3F,3F,0,0,3F,3F,0,0,0,3F,3F
3F,0,0,3F,3F,0,0,0,3F,3F,3F,3F,3F,0,0,0,3F,0,3F,3F,0,0,3F,0,0,3F,3F,0,0,0,0,3F
3F,0,0,3F,3F,0,0,0,0,3F,3F,3F,3F,0,3F,0,3F,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,0,0,0
3F,0,0,3F,3F,0,0,0,0,3F,3F,3F,3F,0,3F,0,3F,3F,0,3F,3F,0,3F,3F,3F,0,0,3F,3F,3F,3F,0
3F,0,0,3F,3F,0,0,0,0,3F,0,3F,3F,3F,3F,0,3F,3F,0,3F,3F,3F,0,3F,3F,0,0,0,0,3F,3F,3F
3F,0,0,3F,3F,0,0,0,0,3F,0,3F,3F,3F,3F,3F,3F,3F,0,0,3F,3F,0,0,3F,3F,0,0,0,3F,3F,3F
3F,0,0,3F,3F,3F,3F,0,0,0,0,3F,3F,3F,3F,3F,0,3F,0,0,0,3F,0,0,0,3F,3F,0,0,0,0,3F
3F,0,0,3F,3F,3F,3F,0,0,0,0,0,0,3F,0,3F,0,3F,3F,0,0,3F,3F,0,0,3F,3F,3F,3F,0,0,0
3F,0,0,0,3F,3F,3F,0,0,0,0,0,0,3F,0,3F,0,0,3F,0,0,0,3F,0,0,0,3F,3F,3F,3F,3F,0
3F,0,0,0,3F,3F,3F,0,0,0,0,0,0,3F,0,3F,0,0,3F,3F,0,0,3F,3F,0,0,0,3F,3F,3F,3F,3F
3F,0,0,0,3F,3F,3F,0,3F,0,0,0,0,0,0,0,3F,0,3F,3F,3F,0,0,3F,3F,0,0,0,0,3F,3F,3F
3F,3F,0,0,3F,3F,3F,3F,3F,0,3F,0,0,0,0,0,3F,0,0,3F,3F,0,0,3F,3F,3F,0,0,0,0,0,3F
3F,3F,0,0,3F,3F,3F,3F,3F,0,3F,0,0,0,3F,0,3F,0,0,3F,3F,3F,0,0,3F,3F,3F,0,0,0,0,0
3F,3F,0,0,0,3F,3F,3F,3F,0,3F,0,3F,0,3F,0,3F,3F,0,0,3F,3F,0,0,0,3F,3F,3F,3F,0,3F,0
3F,3F,0,0,0,3F,3F,3F,3F,0,3F,3F,3F,0,3F,0,3F,3F,0,0,0,3F,3F,0,0,3F,3F,3F,3F,3F,3F,0
3F,3F,0,0,0,3F,3F,3F,3F,3F,3F,3F,3F,0,3F,3F,0,3F,0,0,0,3F,3F,0,0,0,0,3F,3F,3F,3F,3F
3F,3F,0,0,0,3F,3F,3F,3F,3F,3F,3F,3F,3F,3F,3F,0,3F,3F,0,0,0,3F,3F,3F,0,0,3F,0,3F,0,3F
3F,3F,0,0,0,3F,0,3F,3F,3F,3F,3F,3F,3F,3F,3F,0,3F,3F,0,0,0,3F,3F,3F,0,0,0,0,0,0,3F
3F,3F,0,0,0,3F,0,3F,3F,3F,0,3F,3F,3F,0,3F,0,0,3F,3F,3F,0,0,3F,3F,3F,3F,0,0,0,0,0
3F,3F,3F,0,0,3F,0,3F,0,3F,0,3F,3F,3F,0,3F,0,0,3F,3F,3F,0,0,3F,3F,3F,3F,0,3F,0,3F,0
3F,3F,3F,0,0,3F,0,3F,0,3F,0,3F,0,3F,0,3F,3F,0,0,3F,3F,3F,0,0,0,3F,3F,3F,3F,3F,3F,0
3F,3F,3F,0,0,0,0,3F,0,3F,0,3F,0,3F,0,0,3F,0,0,3F,3F,3F,0,0,0,3F,3F,3F,3F,3F,3F,3F
